# tic_id,sector,outburst,flare,tpeak,tpeak_ll,tpeak_ul,ampl,ampl_ll,ampl_ul,fwhm,fwhm_ll,fwhm_ul,duration,duration_ll,duration_ul,bol_energy,bol_energy_ll,bol_energy_ul,M_CME,M_CME_ll,M_CME_ul,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm
114953216,1,1,1,2458345.296,2.5E-05,3.03E-05,0.139689196,0.016292862,0.018896867,0.000802732,0.000129709,0.00015539,0.011570116,0.009386761,0.014263476,1.39E+32,1.13E+31,1.06E+31,2.78E+19,2.57E+19,4.26E+20,11.67099953,3219,0.248,5.00746012,M0-M4.5,nan,nan,nan,-0.841221045,26.03396111,0,0,0
114985772,1,1,1,2458331.664,4.83E-05,5.24E-05,0.076934482,0.00850927,0.010660882,0.001591109,0.000301982,0.000345373,0.019393527,0.015150152,0.024540245,2.52E+32,2.45E+31,2.85E+31,2.84E+19,2.67E+19,5.98E+20,11.04100037,3345,0.308,4.94132996,M0-M4.5,nan,nan,nan,-0.574165084,17.85734747,0,0,0
115015715,1,1,1,2458340.584,3.68E-05,3.8E-05,0.133896762,0.002501875,0.002562324,0.003555244,0.000124245,0.00012794,0.05069384,0.048680487,0.052780528,1.48E+34,4.74E+32,2.86E+32,6.55E+20,6.25E+20,1.05E+22,10.68900013,4107,0.66580302,4.59984016,FGK,nan,nan,nan,nan,nan,0,0,0
115190256,1,1,1,2458331.536,7.98E-05,7.81E-05,0.119323534,0.006712756,0.007301872,0.003199734,0.000340291,0.000358461,0.044243776,0.038920389,0.049993833,1.19E+33,7.84E+31,9.84E+31,7.25E+19,6.93E+19,8.58E+20,12.61200047,3414,nan,nan,M0-M4.5,0.546,nan,0.546,-0.662748862,21.07570871,0,0,0
117545157,1,1,1,2458346.321,5.76E-05,6.55E-05,0.877425575,0.023389729,0.023837489,0.004332015,0.000221549,0.000235129,0.091224246,0.086160862,0.096617633,1.3E+33,5.7E+31,5.5E+31,7.91E+19,7.44E+19,1.01E+21,14.125,3009,0.168,5.11491013,M4.5-M10,nan,nan,nan,nan,nan,0,0,0
126805047,1,1,1,2458326.877,7.74E-05,7.77E-05,0.132487238,0.006478315,0.006699955,0.002468849,0.000225894,0.0002543,0.035103684,0.031470315,0.039223726,7.73E+31,4.32E+30,5.77E+30,2.3E+19,2.13E+19,3E+20,11.93999958,2955,nan,nan,M4.5-M10,0.482,nan,0.482,-0.722093539,22.35131728,0,0,0
126945045,1,1,1,2458330.965,3.87E-05,3.98E-05,0.458924707,0.01315094,0.013577851,0.001956465,9.92E-05,0.000100946,0.0366437,0.034590346,0.038750388,4.51E+32,1.42E+31,1.66E+31,3.84E+19,3.67E+19,1.27E+21,13.11100006,3028,nan,nan,M4.5-M10,0.41,nan,0.41,-1.287920166,40.60342776,0,0,0
129646813,1,1,1,2458327.592,8.53E-05,8.73E-05,0.173725393,0.012273269,0.013776859,0.002657454,0.000337164,0.000365577,0.040473738,0.03470368,0.046893802,9.6E+32,9.27E+31,8.49E+31,8.41E+19,8.2E+19,9.94E+20,13.03199959,3349,0.31,4.94000006,M0-M4.5,nan,nan,nan,-0.683404423,21.61096715,0,0,0
139090254,1,1,1,2458343.729,7.93E-05,7.3E-05,0.088816604,0.013468761,0.019976319,0.000924665,0.00022244,0.000239205,0.011763451,0.008503418,0.015686824,6.45E+31,4.72E+30,7.34E+30,2.42E+19,2.34E+19,6.22E+20,10.88199997,3082,nan,nan,M4.5-M10,0.531,nan,0.531,nan,nan,0,0,0
139763851,1,1,1,2458332.213,0.000315219,0.000359725,0.054517609,0.003983681,0.004149185,0.009297695,0.001531115,0.001883232,0.101441014,0.082547492,0.125027917,2.54E+32,3.52E+31,4.74E+31,2.99E+19,2.87E+19,4.01E+20,12.61600018,3069,0.18799999,5.08324003,M4.5-M10,nan,nan,nan,-0.604033471,18.39918576,0,0,0
