TIC,Sector,Plot 1,Plot 2,Teff,Tmag,log(g),CCD,Camera
114985772,1,114985772.jpg,114985772_flares.jpg,3261.0,11.1087,4.94334,1,1
117545157,1,117545157.jpg,117545157_flares.jpg,3014.0,14.1348,4.90618,3,2
129646813,1,129646813.jpg,129646813_flares.jpg,nan,13.032,4.94,1,1
140045538,1,140045538.jpg,140045538_flares.jpg,3466.0,8.23083,4.64427,4,2
141334293,1,141334293.jpg,141334293_flares.jpg,3149.0,12.7255,4.80183,2,4
141769356,1,141769356.jpg,141769356_flares.jpg,2930.0,14.0446,5.02129,2,4
141914082,1,141914082.jpg,141914082_flares.jpg,4260.0,8.5581,4.22583,2,4
144217628,1,144217628.jpg,144217628_flares.jpg,4251.0,11.0926,4.0661,1,1
147085676,1,147085676.jpg,147085676_flares.jpg,4162.0,10.9826,nan,1,1
147302016,1,147302016.jpg,147302016_flares.jpg,5513.0,10.2537,4.55034,4,2
149347629,1,149347629.jpg,149347629_flares.jpg,3162.0,12.785,4.76612,4,4
150100421,1,150100421.jpg,150100421_flares.jpg,nan,11.655,4.99983,4,4
150167319,1,150167319.jpg,150167319_flares.jpg,3142.0,13.7043,4.84199,4,4
150188736,1,150188736.jpg,150188736_flares.jpg,3720.0,10.4883,4.70601,4,4
150432211,1,150432211.jpg,150432211_flares.jpg,3264.0,12.8117,4.92227,4,4
161174284,1,161174284.jpg,161174284_flares.jpg,2964.0,11.8795,5.13894,3,2
176955267,1,176955267.jpg,176955267_flares.jpg,3247.0,11.3577,4.91355,3,4
180412528,1,180412528.jpg,180412528_flares.jpg,nan,10.758,4.76573,3,3
197598732,1,197598732.jpg,197598732_flares.jpg,3310.0,10.9903,4.89789,1,1
197644539,1,197644539.jpg,197644539_flares.jpg,3186.0,12.3976,4.91029,2,1
201292296,1,201292296.jpg,201292296_flares.jpg,3379.0,10.9008,4.75795,2,2
207080123,1,207080123.jpg,207080123_flares.jpg,3288.0,10.8834,4.85497,1,1
207082763,1,207082763.jpg,207082763_flares.jpg,3387.0,10.8088,4.75833,2,1
214516789,1,214516789.jpg,214516789_flares.jpg,2998.0,13.9129,5.08489,2,1
214517415,1,214517415.jpg,214517415_flares.jpg,3226.0,12.1016,4.99445,2,1
219176544,1,219176544.jpg,219176544_flares.jpg,3320.0,11.5423,4.82869,4,4
220432563,1,220432563.jpg,220432563_flares.jpg,3387.0,11.3002,4.85219,1,4
220522527,1,220522527.jpg,220522527_flares.jpg,3222.0,13.5412,4.942,4,3
220538891,1,220538891.jpg,220538891_flares.jpg,4917.0,10.4753,4.58148,4,3
229013887,1,229013887.jpg,229013887_flares.jpg,3026.0,12.5537,5.08998,2,1
229807051,1,229807051.jpg,229807051_flares.jpg,3164.0,12.5024,4.86207,2,3
231090784,1,231090784.jpg,231090784_flares.jpg,4256.0,12.0416,4.34357,1,4
231267979,1,231267979.jpg,231267979_flares.jpg,3418.0,10.676,4.64482,4,2
231835378,1,231835378.jpg,231835378_flares.jpg,3282.0,11.3951,4.92702,1,3
231914259,1,231914259.jpg,231914259_flares.jpg,nan,10.0793,nan,1,3
234333175,1,234333175.jpg,234333175_flares.jpg,3153.0,12.1354,4.8226,4,3
234506911,1,234506911.jpg,234506911_flares.jpg,3526.0,10.7682,4.65897,1,3
234509975,1,234509975.jpg,234509975_flares.jpg,3476.0,11.4201,4.80913,1,3
234529160,1,234529160.jpg,234529160_flares.jpg,nan,10.942,nan,1,3
237880881,1,237880881.jpg,237880881_flares.jpg,2956.0,13.4739,4.95469,1,3
237885807,1,237885807.jpg,237885807_flares.jpg,3300.0,11.4651,4.74389,1,3
237910557,1,237910557.jpg,237910557_flares.jpg,3132.0,12.8524,4.8773,1,3
238194430,1,238194430.jpg,238194430_flares.jpg,3242.0,12.544,4.81561,3,3
238194459,1,238194459.jpg,238194459_flares.jpg,4620.0,11.4867,4.58666,3,3
25132999,1,25132999.jpg,25132999_flares.jpg,3945.0,10.8124,4.64539,1,4
25353710,1,25353710.jpg,25353710_flares.jpg,3275.0,12.6571,4.9275,3,1
25374751,1,25374751.jpg,25374751_flares.jpg,3286.0,11.5526,5.00372,3,1
259845346,1,259845346.jpg,259845346_flares.jpg,3344.0,11.2054,4.71734,1,2
260269256,1,260269256.jpg,260269256_flares.jpg,nan,13.138,nan,4,4
260351540,1,260351540.jpg,260351540_flares.jpg,5027.0,8.2763,4.34623,4,4
260352702,1,260352702.jpg,260352702_flares.jpg,3192.0,13.5023,5.00556,4,4
260749816,1,260749816.jpg,260749816_flares.jpg,3010.0,14.1244,5.03502,2,3
260889990,1,260889990.jpg,260889990_flares.jpg,nan,11.378,4.94272,2,3
261261192,1,261261192.jpg,261261192_flares.jpg,3253.0,12.9506,4.99895,2,4
261560580,1,261560580.jpg,261560580_flares.jpg,3236.0,12.0826,4.82713,2,3
262955872,1,262955872.jpg,262955872_flares.jpg,3510.0,11.3804,4.66537,3,3
266637623,1,266637623.jpg,266637623_flares.jpg,3938.0,10.45,4.65412,4,1
266640930,1,266640930.jpg,266640930_flares.jpg,4108.0,11.3124,nan,1,1
266923326,1,266923326.jpg,266923326_flares.jpg,3257.0,12.0185,4.76538,2,3
266998480,1,266998480.jpg,266998480_flares.jpg,3663.0,9.90789,4.62594,2,3
269829656,1,269829656.jpg,269829656_flares.jpg,3013.0,11.6348,4.74442,4,1
269849065,1,269849065.jpg,269849065_flares.jpg,3264.0,12.8676,4.90343,3,3
270101915,1,270101915.jpg,270101915_flares.jpg,3157.0,12.6562,4.98021,3,1
271900514,1,271900514.jpg,271900514_flares.jpg,3839.0,11.6977,4.59045,2,4
